direction,threshold,fold,n_trades,win_rate,pf,expectancy_r,net_r,max_dd_r,roc_auc
SHORT,0.55,1,561,0.3102,0.8473,-0.1095,-61.44,127.60000000000096,0.5446518694401582
SHORT,0.55,2,477,0.3585,1.0532,0.0355,16.92,126.68000000000072,0.5639093627034283
SHORT,0.55,3,246,0.3415,0.9772,-0.0156,-3.84,50.39999999999996,0.5179709646432209
SHORT,0.55,4,137,0.5839,2.6451,0.7118,97.52,10.400000000000063,0.5372402042209952
SHORT,0.55,5,400,0.2575,0.6536,-0.2675,-107.0,157.72000000000045,0.5041779196970544
SHORT,0.6,1,408,0.3064,0.8324,-0.1209,-49.32,116.20000000000063,0.5446518694401582
SHORT,0.6,2,307,0.3518,1.0228,0.0154,4.72,80.40000000000012,0.5639093627034283
SHORT,0.6,3,149,0.3423,0.9808,-0.0132,-1.96,33.63999999999998,0.5179709646432209
SHORT,0.6,4,76,0.6711,3.8446,0.9732,73.96,8.319999999999993,0.5372402042209952
SHORT,0.6,5,279,0.2473,0.6192,-0.2981,-83.16,136.56000000000034,0.5041779196970544
SHORT,0.65,1,272,0.2868,0.7577,-0.1797,-48.88,117.72000000000045,0.5446518694401582
SHORT,0.65,2,199,0.3568,1.0454,0.0304,6.04,47.879999999999946,0.5639093627034283
SHORT,0.65,3,89,0.3034,0.8207,-0.1299,-11.56,29.47999999999999,0.5179709646432209
SHORT,0.65,4,51,0.6863,4.1226,1.0188,51.96,8.319999999999993,0.5372402042209952
SHORT,0.65,5,212,0.2217,0.5368,-0.3749,-79.48,119.12000000000029,0.5041779196970544
SHORT,0.7,1,178,0.2753,0.7159,-0.2142,-38.12,93.88000000000025,0.5446518694401582
SHORT,0.7,2,118,0.3644,1.0805,0.0532,6.28,25.199999999999978,0.5639093627034283
SHORT,0.7,3,51,0.1569,0.3506,-0.5694,-29.04,30.999999999999964,0.5179709646432209
SHORT,0.7,4,39,0.7179,4.7972,1.1138,43.44,8.319999999999993,0.5372402042209952
SHORT,0.7,5,143,0.2308,0.5654,-0.3477,-49.72,82.19999999999996,0.5041779196970544
