fold,test_start,test_end,test_rows,train_rows,threshold,direction,accuracy,precision,recall,f1,positive_folds,mean_expectancy,worst_fold_expectancy,avg_trades
1,2023-06-15,2023-07-11,5112,34037,0.55,long,0.6662754303599374,0.36387434554973824,0.1855807743658211,0.2458001768346596,,0.0,0.0,764
2,2023-11-29,2023-12-22,5112,68122,0.55,long,0.6768388106416275,0.3993610223642173,0.07866582756450598,0.13144058885383805,,0.0,0.0,313
3,2024-05-16,2024-06-11,5112,102207,0.55,long,0.6907276995305164,0.39768339768339767,0.06740837696335078,0.1152770005595971,,0.0,0.0,259
4,2024-10-30,2024-11-25,5112,136292,0.55,long,0.6482785602503912,0.3155792276964048,0.15581854043392504,0.20862676056338028,,0.0,0.0,751
5,2025-04-16,2025-05-12,5112,170377,0.55,long,0.6924882629107981,0.3772455089820359,0.08456375838926175,0.13815789473684212,,0.0,0.0,334
1,2023-06-15,2023-07-11,5112,34037,0.6,long,0.676056338028169,0.3628472222222222,0.13951935914552738,0.20154291224686596,,0.0,0.0,576
2,2023-11-29,2023-12-22,5112,68122,0.6,long,0.6844679186228482,0.4411764705882353,0.056639395846444306,0.1003904071388734,,0.0,0.0,204
3,2024-05-16,2024-06-11,5112,102207,0.6,long,0.6964006259780907,0.42857142857142855,0.04712041884816754,0.08490566037735849,,0.0,0.0,168
4,2024-10-30,2024-11-25,5112,136292,0.6,long,0.6625586854460094,0.31785714285714284,0.11702827087442472,0.1710716001922153,,0.0,0.0,560
5,2025-04-16,2025-05-12,5112,170377,0.6,long,0.7012910798122066,0.4155251141552511,0.0610738255033557,0.10649502633118783,,0.0,0.0,219
1,2023-06-15,2023-07-11,5112,34037,0.65,long,0.684076682316119,0.3526448362720403,0.09345794392523364,0.14775725593667546,,0.0,0.0,397
2,2023-11-29,2023-12-22,5112,68122,0.65,long,0.687206572769953,0.4642857142857143,0.04090623033354311,0.07518796992481203,,0.0,0.0,140
3,2024-05-16,2024-06-11,5112,102207,0.65,long,0.7036384976525821,0.5730337078651685,0.03337696335078534,0.06307977736549165,,0.0,0.0,89
4,2024-10-30,2024-11-25,5112,136292,0.65,long,0.6727308294209703,0.3020833333333333,0.0762656147271532,0.12178477690288714,,0.0,0.0,384
5,2025-04-16,2025-05-12,5112,170377,0.65,long,0.7030516431924883,0.3939393939393939,0.0348993288590604,0.06411837237977805,,0.0,0.0,132
1,2023-06-15,2023-07-11,5112,34037,0.55,short,0.6379107981220657,0.3,0.11173184357541899,0.1628222523744912,,0.0,0.0,600
2,2023-11-29,2023-12-22,5112,68122,0.55,short,0.6678403755868545,0.3504424778761062,0.12949640287769784,0.18911174785100288,,0.0,0.0,565
3,2024-05-16,2024-06-11,5112,102207,0.55,short,0.6580594679186228,0.3739495798319328,0.052725118483412325,0.09241952232606439,,0.0,0.0,238
4,2024-10-30,2024-11-25,5112,136292,0.55,short,0.6607981220657277,0.5736434108527132,0.042213348545350825,0.07863974495217853,,0.0,0.0,129
5,2025-04-16,2025-05-12,5112,170377,0.55,short,0.6469092331768388,0.2545931758530184,0.05995055624227441,0.09704852426213106,,0.0,0.0,381
1,2023-06-15,2023-07-11,5112,34037,0.6,short,0.647887323943662,0.2827586206896552,0.07635009310986965,0.12023460410557185,,0.0,0.0,435
2,2023-11-29,2023-12-22,5112,68122,0.6,short,0.6829029733959311,0.38082901554404147,0.09614126880313931,0.1535248041775457,,0.0,0.0,386
3,2024-05-16,2024-06-11,5112,102207,0.6,short,0.6629499217527387,0.3722627737226277,0.030213270142180094,0.05589041095890411,,0.0,0.0,137
4,2024-10-30,2024-11-25,5112,136292,0.6,short,0.6615805946791862,0.6619718309859155,0.026811180832857957,0.051535087719298246,,0.0,0.0,71
5,2025-04-16,2025-05-12,5112,170377,0.6,short,0.6517996870109546,0.23529411764705882,0.04449938195302843,0.07484407484407485,,0.0,0.0,306
1,2023-06-15,2023-07-11,5112,34037,0.65,short,0.6602112676056338,0.27972027972027974,0.04965859714463067,0.08434370057986294,,0.0,0.0,286
2,2023-11-29,2023-12-22,5112,68122,0.65,short,0.6903364632237872,0.3815789473684211,0.05689993459777633,0.09903244166192374,,0.0,0.0,228
3,2024-05-16,2024-06-11,5112,102207,0.65,short,0.6637323943661971,0.3176470588235294,0.015995260663507108,0.030456852791878174,,0.0,0.0,85
4,2024-10-30,2024-11-25,5112,136292,0.65,short,0.6592331768388107,0.6222222222222222,0.015972618368511125,0.03114571746384872,,0.0,0.0,45
5,2025-04-16,2025-05-12,5112,170377,0.65,short,0.6586463223787168,0.22510822510822512,0.032138442521631644,0.056246619794483504,,0.0,0.0,231
